Name	C_inv	C_maint	C_op
HYDRO	193.053816	800.000000	0.000000
THERMAL	0.000000	0.000000	0.000000
IPP_SOLAR	60083.777932	103155.668016	0.000000
PV	0.000000	0.000000	0.000000
WIND_ONSHORE	0.000000	0.000000	0.000000
HYDRO_RIVER	193.053816	800.000000	0.000000
BESS	240335.111729	412622.672065	0.000000
DIESEL_STORAGE	0.000000	0.000000	0.000000
GRID	12.065863	50.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
ADO	0.000000	0.000000	0.000000
ULP	0.000000	0.000000	0.000000
LPG	0.000000	0.000000	0.000000
WOOD	0.000000	0.000000	0.000000
