Time	BESS	DIESEL_STORAGE	BESS_in	BESS_out	DIESEL_STORAGE_in	DIESEL_STORAGE_out	
 1	638.785458	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 2	670.657701	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 3	702.523569	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 4	734.383065	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 5	766.236188	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 6	798.082941	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 7	829.923324	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8	861.757340	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 9	893.584988	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 10	925.406271	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 11	957.221190	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 12	989.029746	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 13	1020.831940	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 14	1052.627773	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 15	1084.417248	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 16	1116.200364	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 17	1147.977124	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 18	1179.747529	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 19	1211.511579	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 20	1243.269277	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8742	32.000000	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8743	63.993600	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8744	95.980801	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8745	127.961605	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8746	159.936013	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8747	191.904026	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8748	223.865645	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8749	255.820872	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8750	287.769707	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8751	319.712154	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8752	351.648211	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8753	383.577881	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8754	415.501166	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8755	447.418066	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8756	479.328582	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8757	511.232716	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8758	543.130470	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8759	575.021844	0.000000	-2095.113360	0.000000	0.000000	0.000000	
 8760	606.906839	0.000000	-2095.113360	0.000000	0.000000	0.000000	
